Attribute,Value,Property,URI,Description,
layer,APPLICATIONMAD,mobilitymadrid:layers,http://mobilitylab.emtmadrid.es/def/layers#applicationMad,kind of layer into RB or Mobility Servers. Layer ontology describes data domain Reactive Box and other elements of this entity,
idApplication,[_id],Schema:text,http://schema.org/Text,Unique id of application into system,
operatingSystem,[textvalue],Schemas:operatingSystem,https://schema.org/operatingSystem,Operating system of device or machine, 
softwareApplication,[textvalue],Schemas:softwareapplication,https://schema.org/SoftwareApplication,Definition of software of the application ,
appId,[app token],Mobilitymadrid:Tokenid,http://mobilitylab.emtmadrid.es/schemas/tockenid,Token or id  of application,
security,[textvalue],Mobilitymadrid:security,http://mobilitylab.emtmadrid.es/schemas/security,Context of security of application,
