Attribute,Value,Property,URI,Description
layer,DEVICEEVENTMAD,mobilitymadrid:layers,http://mobilitylab.emtmadrid.es/def/layers#busInstant,kind of layer into RB or Mobility Servers. Layer ontology describes data domain Reactive Box and other elements of this entity
idDevice,[_id],Schema:text,http://schema.org/Text,Unique id of Device into system
instant,[date time value],dcterms:date,xsd:datetime,Instant of the current event
geometry,GEOJSON,point object,http://geojson.org/geojson-spec.html#id2,Representation of geo-point of current position of event
Condition,[value],ssn:Condition,http://purl.oclc.org/NET/ssnx/ssn#Condition,Used to specify ranges for qualities that act as conditions on a system/sensor's operation
Accuracy,[value],ssn:Accuracy ,http://purl.oclc.org/NET/ssnx/ssn#Accuracy,The closeness of agreement between the value of an observation and the true value of the observed quality
ObservationValue,[value],ssn:ObservationValue,http://purl.oclc.org/NET/ssnx/ssn#ObservationValue,The value of the result of an Observation. 
